Date,Item,Monetary value,Quantity,Unit,Brand,Payee,Week
27/03/2017,Fricassé,-0.50din,,,,,13
27/03/2017,Doctor,-30.00din,,,,,13
27/03/2017,Tomato paste,-1.34din,1500,g,Jouda,Carrefour,13
27/03/2017,Yogurt,-0.72din,2,unit,Délice,Carrefour,13
27/03/2017,Butter,-1.87din,200,g,Délice,Carrefour,13
27/03/2017,Garlic,-2.89din,194,g,,Carrefour,13
27/03/2017,Onions,-1.66din,1404,g,,Carrefour,13
27/03/2017,Pepper,-1.02din,296,g,,Carrefour,13
27/03/2017,Potatoes,-1.66din,1406,g,,Carrefour,13
27/03/2017,Pumpkin,-0.93din,494,g,,Carrefour,13
27/03/2017,Tomatoes,-1.84din,614,g,,Carrefour,13
27/03/2017,Mug,-2.99din,1,unit,,Carrefour,13
27/03/2017,Bag,-0.29din,1,unit,,Carrefour,13
27/03/2017,Eggs,-2.25din,18,unit,,Grocery,13
27/03/2017,Taxi,-1.00din,,,,,13
27/03/2017,Bus,-0.40din,,,,,13
27/03/2017,Sandwich,-2.30din,,,,Mazraa,13
27/03/2017,Tea,-1.00din,,,,Aquarium,13
28/03/2017,Doctor,-80.00din,,,,,13
28/03/2017,Doctor,-100.00din,,,,,13
28/03/2017,Bus,-0.40din,,,,,13
28/03/2017,Milk,-1.12din,,,,,13
28/03/2017,Bread,-0.20din,,,,,13
29/03/2017,Canned tuna,-2.30din,,,Dwaref,Grocery,13
29/03/2017,Grated cheese,-0.60din,50,g,Délice,Grocery,13
29/03/2017,Bus,-0.40din,,,,,13
30/03/2017,Tart chocolate,-0.90din,3,unit,Said,Grocery,13
30/03/2017,Public transportation,-0.65din,,,,,13
30/03/2017,Breakfast,-3.50din,,,,Ben's coffee,13
30/03/2017,Fricassé,-0.60din,,,,,13
30/03/2017,Chicha,-2.00din,0.5,unit,,El-Enba,13
30/03/2017,Tea,-0.80din,1,unit,,El-Enba,13
30/03/2017,Public transportation,-0.65din,,,,,13
30/03/2017,Bread,-0.20din,,,,,13
31/03/2017,Public transportation,-0.65din,,,,,13
31/03/2017,Breakfast,-4.50din,,,,Pomme de Pain,13
31/03/2017,Public transportation,-1.10din,,,,,13
31/03/2017,Wipes,-0.98din,0.5,unit,,,13
01/04/2017,Public transportation,-4.70din,,,,,13
02/04/2017,Public transportation,-4.70din,,,,,14
02/04/2017,Taxi,-2.00din,,,,,14
02/04/2017,Milk,-1.12din,,,Natilait,,14
02/04/2017,Income,5.00din,,,,,14
02/04/2017,Income,150.00din,,,,,14
02/04/2017,Income,17.00din,,,,,14
03/04/2017,Rent,-150.00din,,,,,14
03/04/2017,Sandwich,-1.50din,,,,Abi Bilel,14
03/04/2017,Sandwich,-1.80din,,,,Abi Bilel,14
03/04/2017,Bread,-0.20din,,,,,14
03/04/2017,Taxi,-1.90din,,,,,14
04/04/2017,Printing,-0.50din,1,unit,,Chiheb,14
04/04/2017,Medicine,-34.40din,,,,,14
04/04/2017,Bread,-0.20din,,,,,14
04/04/2017,Bread,-0.15din,,,,,14
05/04/2017,Bread,-0.20din,,,,,14
05/04/2017,Gift,-5.00din,,,,,14
06/04/2017,Sandwich,-1.80din,,,,Abi Bilel,14
06/04/2017,Ceramic cleaner,-0.99din,1/2,unit,,Carrefour,14
06/04/2017,Cigarettes,-0.60din,2,unit,,,14
07/04/2017,Sandwich,-1.80din,,,Malfouf,Abi Bilel,14
